Inglaterra,1,Isabel II es la reina de:,    Reino Unido,    Francia,    Colombia
Inglaterra,2,El Big Ben es:,    La campana,    El reloj,    La torre
Inglaterra,3,El deporte fundado en Inglaterra es el:,    Futbol,    Tenis,    Baloncesto
Inglaterra,4,¿Cual es la bebida mas consumida en Reino Unido?,    Te,    Vino,    Tequila
Inglaterra,5,¿Cual es la banda mas representativa de Reino Unido?,    The Beatles,    Rammstein,    Def Leppard
Colombia,1,El ____ de Colombia es de los mas exportados en el mundo,    Cafe,    Tomate,    Hierro
Colombia,2,¿Que pais tiene costa en el oceano Pacifico y Atlantico?,    Colombia,    Arabia,    Jamaica
Colombia,3,La capital de Colombia es:,    Bogota,    Medellin,    Narinio
Colombia,4,Colombia recibe su nombre del explorador Cristobal _____,    Colon,    Bonaparte,    Segundo
Colombia,5,Existe una ley colombiana para escuchar su himno ___ vez(ces) al día,    Dos,    Ninguna,    Tres
Peru,1,Uno de los lugares mas famosos de este pais es Machu Picchu,    Peru,    India,    Argentina
Peru,2,La tribu ____ es la mas grande de Latinoamerica,    Inca,    Maya,    Wayu
Peru,3,La bebida (alcoholica) mas famosa de Peru es el _____,    Pisco,    Aguardiente,    Ron
Peru,4,La bandera de Cusco es igual a la LGBT+ ,    FALSO,    VERDADERO,    -
Peru,5,Supuestos fenomenos extraterrestes son notables en las Lineas de _____,    Nazca,    Inti,    Oyanteitambo
Polonia,1,La tribu Polanie da nombre al pais _______,    Polonia,    Suecia,    Turquia
Polonia,2,Polonia es el mayor exportador de ambar en el _____,    Mundo,     Hemisferio,    Continente
Polonia,3,¿Polonia posee el castillo de ladrillo mas grande del mundo?,    Si,    No,    -
Polonia,4,Es el pais mas _________ de Europa.,    Religioso,    Comerciante,    Dominante
Polonia,5,El alfabeto polaco tiene __ letras.,32,31,33
Indonesia,1,El ______ de Komodo es originario de Indonesia.,    Dragon,    Pez,    Mamut
Indonesia,2,La capital de Indonesia es:,    Jakarta,     Pekin,    Madrid
Indonesia,3,La Rupia Indonesia es la ______ del pais.,    Moneda,    Bandera,    Lengua
Indonesia,4,Monaco e Indonesia tienen la misma:,    Bandera,    Tribu,    Escultura
Indonesia,5,Es hogar de una isla y tradicion cazadora de:,    Cabezas,    Ballenas,    Sirenas
Italia,1,¿Cual es la fuente mas famosa en Italia?,    Fontana Di Trevi,    La Sagrada Familia,    Coliseo Romano
Italia,2,El plato italiano mas famoso es:,    Pizza,    Causa,    Sancocho
Italia,3,El animal insignia de italia es:,    Lobo,    Gato,    Grifo
Italia,4,Es el primer exportador de vino en:,    Mundo,    Continente,    Hemisferio
Italia,5,Alessandro _____ fue el creador de la bateria.,    Volta,    Magno,    Primero
Nigeria,1,¿Es nigeria el corazon de la musica africana?,    No,    Si,    -
Nigeria,2,Nigeria es el pais con mayor cantidad de:,    Mariposas,    Gatos,    Mujeres
Nigeria,3,¿Nigeria posee petroleo?,    Si,     No,    -
Nigeria,4,La ciudad mas grande de Nigeria es:,    Lagos,    Cusco,    Estocolmo
Nigeria,5,La capital de _______ es Abusa.,    Nigeria,    Arabia,    Irak
Noruega,1,En Noruega existe un lugar donde es ilegal:,    Morir,    Reir,    Respirar
Noruega,2,Suecia pertenecio a _______ hasta 1905.,    Noruega,    España,    Qatar
Noruega,3,Noruega posee el lago mas profundo de,    Europa,    Asia,    America
Noruega,4,La capital noruega es:,    Oslo,    Yemen,    Iran
Noruega,5,Noruega tiene el museo con el mejor barco _______ del mundo.,    Vikingo,    Pirata,    Deportivo
Alemania,1,El personaje mas famoso de este pais es Adolf ______.,    Hitler,    Wattson,    Riordan
Alemania,2,Alemania produce de las mejores cervezas del mundo.,    VERDADERO,    FALSO,    -
Alemania,3,La banda alemana mas famosa es:,    Rammstein,    Ghost,    Avenged Sevenfold
Alemania,4,El ___________ es celebrado en el decimo mes del año y debe seguir las leyes de pureza de la cerveza.,    Oktoberfest,    Skalloween,    Hacktoberfest
Alemania,5,Es una fabrica alemana:,    Stutz,    NSU,    Brabham
Rumania,1,De que pais sale la leyenda de dracula,    Rumania,    Pensilvania,    Transilvania
Rumania,2,En base a que personaje se creo dracula,    Vlad el Empalador,    Jack el Destripador,    Tim Bourton
Rumania,3,Es enclave del segundo rio mas largo de europa, cual es?,    Danubio,    Amazonas,    Nilo
Rumania,4,Como se le considera a rumania?,    Jardin Carpato,    Puertas del sol,    La esfera dorada
Rumania,5,Por que montes esta rodeado el pais de rumania?,    Carpato,    Aconcagua,    Everest
Escocia,1,De donde sale la leyenda del lago ness:,    Escocia,    Suecia,    Noruega
Escocia,2,Quien invento el telefono?,    Un escoces,    Un ruso,    Un ingles
Escocia,3,Cual es el deporte mas practicado en Escocia?,    Golf,    Futbol,    Tenis
Escocia,4,Cual es el animal representativo de Escocia?,     Unicornio,    Aguila,    Perro
Escocia,5,Cual es la capital de Escocia?,     Edimburgo,    Lagos,    Oslo
Cuba,1,Cual pais latinoamericano tuvo el primer ferrocarril?,    Cuba,    Chile,    Argentina
Cuba,2,Habana es la capital de ____?,    Cuba,    Puerto Rico,    Guatemala
Cuba,3,En cual pais no se vende CocaCola?,    Cuba,    Siria,    Argentina
Cuba,4,Cuba es la ___ mas grande del grupo de las Indias Occidentales:,    Isla,    Poblacion,    Costa
Cuba,5,El ______ es considerado el deporte nacional de cuba:,    Beisbol,    Baloncesto,    Voleibol
Rusia,1,Cual es el pais que pertenece a dos continentes?,    Rusia,    India,    Tailandia
Rusia,2,Cual es la bebida mas famosa de Rusia?,     Vodka,    Soda,    Te
Rusia,3,Rusia es el pais mas ____ del mundo:,    Grande,    Frio,    Poblado
Rusia,4,Los rusos fueron los primero en conquistar _______:,    El espacio,    America,    Asia
Rusia,5,La comida tipica de Rusia es el _______ :,    Caviar,    Pelmeni,    Salmon
Isla de Pascua,1,Cual es el idioma que se habla en la isla de pascua?,     Rapanui,    Maori,    Espaniol
Isla de Pascua,2,En cual continente esta ubicada la isla de  pascua?,     Oceania,    Europa,    Asia
Isla de Pascua,3,Cual es la capital de la isla de pascua?,     Hanga Roa,    Guyana,    Barbados
Isla de Pascua,4,La isla de pascua tambien es conocida como_____:,     Rapa Nui,    El ombligo del mundo,    Isla Polinesa
Isla de Pascua,5,Los ___ son las cosas que mas atraen a los turistas:,     Moais,     Yetis,    Glaciares
Sri Lanka,1,Sri Lanka es el pais con mas densidad de ________:,     Elefantes,    Monos,    Leones
Sri Lanka,2,La religion que practican en Sri Lanka es _________:,     Budismo,     Catolicismo,    Induismo
Sri Lanka,3,Sri Lanka es el mayor productor de ___:,     Te,    Trigo,    Algodon
Sri Lanka,4,Sri Lanka es concido como____ :,     Perla del oceano indico,    Isla de rubies,    Paraiso escondido
Sri Lanka,5,Sri Lanka fue el primer pais del mundo en tener a una mujer ____:,     Presidenta,    Doctora,    Pensionada
Corea del Norte,1,Corea del norte esta en:,     Juche,    Anio,    Decada
Corea del Norte,2,Solo estan permitidos __ cortes de cabello oficiales:,30,15,101
Corea del Norte,3,Cual es el nombre oficial de corea del norte?,     RPDC,    Songbun,    Korea
